Argentina,Austrailia,Egypt,England,Pakistan,Scotland,Sweden
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,True,False,False,False,False
False,True,False,False,False,False,False
False,False,True,False,False,False,False
False,False,False,False,True,False,False
False,True,False,False,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,False,False,True,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,True,False,False,False,False,False
False,False,False,True,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,True,False,False,False
False,False,False,False,True,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,False,True,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,True
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,True,False,False,False
False,True,False,False,False,False,False
False,False,False,False,False,True,False
False,True,False,False,False,False,False
False,False,False,True,False,False,False
False,False,False,True,False,False,False
False,True,False,False,False,False,False
True,False,False,False,False,False,False
False,True,False,False,False,False,False
False,False,False,False,True,False,False
