Year,Team_1,Player_1,Team_2,Player_2,Round1,Round2,Round3,Round4,Result,,,,
1980,Pakistan,Jahangir Khan,Austrailia,Ian Yeates,9,9,3,9,Win,,,,
1980,Pakistan,Jahangir Khan,Pakistan,Ahmed,9,9,8,9,Win,,,,
1980,Pakistan,Jahangir Khan,Pakistan,Zaman,9,4,0,9,Loss,,,,
1981,Pakistan,Jahangir Khan,Egypt,M.Asran,9,9,5,9,Win,,,,
1981,Pakistan,Jahangir Khan,Austrailia,Williams,9,9,9,,Win,,,,
1981,Pakistan,Jahangir Khan,Egypt,Awad,9,8,9,9,Win,,,,
1981,Pakistan,Jahangir Khan,Pakistan,Jahan,9,9,9,,Win,,,,
1981,Pakistan,Jahangir Khan,Austrailia,Hunt,7,9,9,9,Win,,,,
1982,Pakistan,Jahangir Khan,England,Andrew Dwyer,9,9,9,,Win,,,,
1982,Pakistan,Jahangir Khan,Egypt,Aziz,9,9,9,,Win,,,,
1982,Pakistan,Jahangir Khan,England,Keyon,9,10,9,,Win,,,,
1982,Pakistan,Jahangir Khan,Austrailia,Brumby,9,9,9,,Win,,,,
1982,Pakistan,Jahangir Khan,Austrailia,Williams,9,6,9,9,Win,,,,
1983,Pakistan,Jahangir Khan,Egypt,Moussa Helal,9,9,9,,Win,,,,
1983,Pakistan,Jahangir Khan,Egypt,Safwat,9,9,9,,Win,,,,
1983,Pakistan,Jahangir Khan,England,Kenyon,9,9,9,,Win,,,,
1983,Pakistan,Jahangir Khan,Egypt,Awad,9,9,9,,Win,,,,
1983,Pakistan,Jahangir Khan,Austrailia,Dittmmar,9,9,9,,Win,,,,
1984,Pakistan,Jahangir Khan,Pakistan,Shah Jehan,9,9,9,,Win,,,,
1984,Pakistan,Jahangir Khan,Austrailia,Throne,9,9,9,,Win,,,,
1984,Pakistan,Jahangir Khan,England,Jahan,9,9,9,,Win,,,,
1984,Pakistan,Jahangir Khan,Austrailia,Norman,9,9,9,,Win,,,,
1984,Pakistan,Jahangir Khan,Pakistan,Zaman,9,4,9,,Win,,,,
1985,Pakistan,Jahangir Khan,England,Martin Bodemate,9,9,9,,Win,,,,
1985,Pakistan,Jahangir Khan,Pakistan,Sohail,9,9,9,,Win,,,,
1985,Pakistan,Jahangir Khan,Austrailia,Ross Thorne,9,9,9,,Win,,,,
1985,Pakistan,Jahangir Khan,Austrailia,Glen Brumby,9,9,9,,Win,,,,
1985,Pakistan,Jahangir Khan,Austrailia,Ross Norman,9,4,9,9,Win,,,,
1986,Pakistan,Jahangir Khan,England,Jamie,9,9,9,,Win,,,,
1986,Pakistan,Jahangir Khan,Pakistan,Ahmed,9,9,9,,Win,,,,
1986,Pakistan,Jahangir Khan,Sweden,Soderberg,9,9,9,,Win,,,,
1986,Pakistan,Jahangir Khan,Austrailia,Dittmar,9,9,3,9,Win,,,,
1986,Pakistan,Jahangir Khan,Austrailia,Norman,5,7,9,1,Loss,,,,
1987,Pakistan,Jahangir Khan,Austrailia,Anders Wahlstedt,9,9,9,,Win,,,,
1987,Pakistan,Jahangir Khan,Austrailia,Nanacarrow,9,9,9,,Win,,,,
1987,Pakistan,Jahangir Khan,Austrailia,Robertson,9,10,9,,Win,,,,
1987,Pakistan,Jahangir Khan,Pakistan,Janser Khan,9,4,7,7,Loss,,,,
1988,Pakistan,Jahangir Khan,Austrailia,Austrin,9,9,9,,Win,,,,
1988,Pakistan,Jahangir Khan,Austrailia,Hill,9,9,9,,Win,,,,
1988,Pakistan,Jahangir Khan,Pakistan,UH Khan,9,8,9,,Win,,,,
1989,Pakistan,Jahangir Khan,England,Phill Whitlock,15,10,15,15,Win,,,,
1989,Pakistan,Jahangir Khan,Austrailia,Watt,15,15,15,,Win,,,,
1989,Pakistan,Jahangir Khan,Scotland,Maclean,15,15,15,,Win,,,,
1989,Pakistan,Jahangir Khan,Austrailia,Dittmar,9,15,9,15,Loss,,,,
1991,Pakistan,Jahangir Khan,England,Paul Carter,15,15,12,15,Win,,,,
1991,Pakistan,Jahangir Khan,England,Marshall,15,15,15,,Win,,,,
1991,Pakistan,Jahangir Khan,Austrailia,Robertson,15,14,15,,Win,,,,
1993,Pakistan,Jahangir Khan,Argentina,Federico,15,5,15,15,Win,,,,
1993,Pakistan,Jahangir Khan,Austrailia,Norman,15,15,9,15,Win,,,,
1993,Pakistan,Jahangir Khan,Pakistan,Janser Khan,15,9,5,5,loss,,,,
